country_code,country,year,population,age_range,rate_type,suicide_rate,lower_bound,upper_bound
140,Central African Republic,2019,Total,25 to 34 years,RATE_PER_100000,8.34,,
140,Central African Republic,2019,Total,35 to 44 years,RATE_PER_100000,21.56,,
140,Central African Republic,2019,Total,55 to 64 years,RATE_PER_100000,65.44,,
140,Central African Republic,2019,Total,75 to 84 years,RATE_PER_100000,74.37,,
756,Switzerland,2019,Male,25 to 34 years,RATE_PER_100000,11.67,,
756,Switzerland,2019,Male,35 to 44 years,RATE_PER_100000,14.06,,
756,Switzerland,2019,Male,85 plus years,RATE_PER_100000,72.12,,
756,Switzerland,2019,Male,Total years,RATE_PER_100000,20.1614,16.2364,24.7795
140,Central African Republic,2019,Female,30 to 49 years,RATE_PER_100000,8.8,,
140,Central African Republic,2019,Female,35 to 44 years,RATE_PER_100000,8,,
140,Central African Republic,2019,Female,55 to 64 years,RATE_PER_100000,27.29,,
140,Central African Republic,2019,Male,15 to 29 years,RATE_PER_100000,11.8,,
140,Central African Republic,2019,Male,55 to 64 years,RATE_PER_100000,111.08,,
140,Central African Republic,2019,Male,65 to 74 years,RATE_PER_100000,131.37,,
124,Canada,2019,Total,15 to 19 years,RATE_PER_100000,8.6,,
124,Canada,2019,Total,Total years,RATE_PER_100000,11.8057,9.48,15.761
124,Canada,2019,Female,25 to 34 years,RATE_PER_100000,6.82,,
124,Canada,2019,Female,30 to 49 years,RATE_PER_100000,6.69,,
124,Canada,2019,Male,15 to 24 years,RATE_PER_100000,15.15,,
756,Switzerland,2019,Total,15 to 29 years,RATE_PER_100000,7.33,,
756,Switzerland,2019,Total,25 to 34 years,RATE_PER_100000,7.83,,
756,Switzerland,2019,Total,45 to 54 years,RATE_PER_100000,17.66,,
756,Switzerland,2019,Total,65 to 74 years,RATE_PER_100000,21.15,,
756,Switzerland,2019,Female,15 to 19 years,RATE_PER_100000,2.44,,
756,Switzerland,2019,Male,45 to 54 years,RATE_PER_100000,24.24,,
152,Chile,2019,Total,25 to 34 years,RATE_PER_100000,10.12,,
152,Chile,2019,Total,45 to 54 years,RATE_PER_100000,13.7,,
152,Chile,2019,Total,55 to 64 years,RATE_PER_100000,12.29,,
152,Chile,2019,Total,Total years,RATE_PER_100000,8.97,7.25,10.9326
152,Chile,2019,Female,30 to 49 years,RATE_PER_100000,4.63,,
152,Chile,2019,Female,75 to 84 years,RATE_PER_100000,2.08,,
152,Chile,2019,Female,85 plus years,RATE_PER_100000,1.67,,
156,China,2019,Total,15 to 24 years,RATE_PER_100000,4.26,,
156,China,2019,Total,25 to 34 years,RATE_PER_100000,5.75,,
156,China,2019,Total,85 plus years,RATE_PER_100000,71.92,,
156,China,2019,Total,Total years,RATE_PER_100000,8.07,6.13,10.567
64,Bhutan,2019,Female,15 to 29 years,RATE_PER_100000,1.67,,
64,Bhutan,2019,Male,45 to 54 years,RATE_PER_100000,8.82,,
64,Bhutan,2019,Male,Total years,RATE_PER_100000,6.31,3.25,10.9473
72,Botswana,2019,Total,15 to 19 years,RATE_PER_100000,9.03,,
72,Botswana,2019,Total,35 to 44 years,RATE_PER_100000,30.61,,
72,Botswana,2019,Total,Total years,RATE_PER_100000,16.0547,8.54,27.5922
72,Botswana,2019,Female,25 to 34 years,RATE_PER_100000,4.58,,
72,Botswana,2019,Female,30 to 49 years,RATE_PER_100000,10.76,,
72,Botswana,2019,Female,35 to 44 years,RATE_PER_100000,13.19,,
72,Botswana,2019,Female,45 to 54 years,RATE_PER_100000,14.46,,
72,Botswana,2019,Female,55 to 64 years,RATE_PER_100000,14.81,,
72,Botswana,2019,Female,65 to 74 years,RATE_PER_100000,17.65,,
72,Botswana,2019,Male,25 to 34 years,RATE_PER_100000,26.04,,
72,Botswana,2019,Male,45 to 54 years,RATE_PER_100000,76.41,,
140,Central African Republic,2019,Female,75 to 84 years,RATE_PER_100000,30.48,,
140,Central African Republic,2019,Female,Total years,RATE_PER_100000,5.19,2.85,8.77
140,Central African Republic,2019,Male,15 to 19 years,RATE_PER_100000,10.49,,
140,Central African Republic,2019,Male,15 to 24 years,RATE_PER_100000,11.56,,
140,Central African Republic,2019,Male,30 to 49 years,RATE_PER_100000,35.31,,
140,Central African Republic,2019,Male,35 to 44 years,RATE_PER_100000,35.32,,
140,Central African Republic,2019,Male,75 to 84 years,RATE_PER_100000,151.8,,
140,Central African Republic,2019,Male,85 plus years,RATE_PER_100000,507.01,,
124,Canada,2019,Total,25 to 34 years,RATE_PER_100000,16.29,,
124,Canada,2019,Total,75 to 84 years,RATE_PER_100000,13.14,,
124,Canada,2019,Female,15 to 29 years,RATE_PER_100000,6.88,,
124,Canada,2019,Female,35 to 44 years,RATE_PER_100000,5.95,,
124,Canada,2019,Female,55 to 64 years,RATE_PER_100000,7.88,,
124,Canada,2019,Female,65 to 74 years,RATE_PER_100000,4.65,,
124,Canada,2019,Female,75 to 84 years,RATE_PER_100000,6.61,,
124,Canada,2019,Female,85 plus years,RATE_PER_100000,5.15,,
124,Canada,2019,Male,35 to 44 years,RATE_PER_100000,20.16,,
124,Canada,2019,Male,45 to 54 years,RATE_PER_100000,22.97,,
124,Canada,2019,Male,55 to 64 years,RATE_PER_100000,22.17,,
756,Switzerland,2019,Total,15 to 19 years,RATE_PER_100000,5.59,,
756,Switzerland,2019,Female,15 to 24 years,RATE_PER_100000,2.93,,
756,Switzerland,2019,Female,15 to 29 years,RATE_PER_100000,3.5,,
756,Switzerland,2019,Female,30 to 49 years,RATE_PER_100000,6.72,,
756,Switzerland,2019,Female,35 to 44 years,RATE_PER_100000,6.84,,
756,Switzerland,2019,Female,55 to 64 years,RATE_PER_100000,11.63,,
756,Switzerland,2019,Male,30 to 49 years,RATE_PER_100000,14.94,,
756,Switzerland,2019,Male,65 to 74 years,RATE_PER_100000,30.96,,
152,Chile,2019,Total,15 to 29 years,RATE_PER_100000,8.12,,
152,Chile,2019,Total,35 to 44 years,RATE_PER_100000,11.79,,
152,Chile,2019,Total,75 to 84 years,RATE_PER_100000,13.85,,
152,Chile,2019,Female,55 to 64 years,RATE_PER_100000,3.7,,
152,Chile,2019,Female,Total years,RATE_PER_100000,3.19,2.47,3.99
152,Chile,2019,Male,15 to 19 years,RATE_PER_100000,7.38,,
152,Chile,2019,Male,15 to 29 years,RATE_PER_100000,12.46,,
152,Chile,2019,Male,25 to 34 years,RATE_PER_100000,15.9,,
152,Chile,2019,Male,45 to 54 years,RATE_PER_100000,23.13,,
156,China,2019,Total,15 to 19 years,RATE_PER_100000,2.9,,
156,China,2019,Total,15 to 29 years,RATE_PER_100000,4.78,,
152,Chile,2019,Total,15 to 24 years,RATE_PER_100000,7.43,,
152,Chile,2019,Total,85 plus years,RATE_PER_100000,14.51,,
152,Chile,2019,Female,25 to 34 years,RATE_PER_100000,4.16,,
152,Chile,2019,Male,30 to 49 years,RATE_PER_100000,19.12,,
152,Chile,2019,Male,35 to 44 years,RATE_PER_100000,19.03,,
152,Chile,2019,Male,55 to 64 years,RATE_PER_100000,21.6,,
152,Chile,2019,Male,65 to 74 years,RATE_PER_100000,20.15,,
152,Chile,2019,Male,75 to 84 years,RATE_PER_100000,30.72,,
152,Chile,2019,Male,85 plus years,RATE_PER_100000,40.26,,
156,China,2019,Total,30 to 49 years,RATE_PER_100000,6.25,,
156,China,2019,Total,55 to 64 years,RATE_PER_100000,11.36,,
156,China,2019,Total,75 to 84 years,RATE_PER_100000,38.43,,
96,Brunei Darussalam,2019,Total,15 to 24 years,RATE_PER_100000,0,,
96,Brunei Darussalam,2019,Total,65 to 74 years,RATE_PER_100000,0,,
96,Brunei Darussalam,2019,Total,85 plus years,RATE_PER_100000,58.52,,
96,Brunei Darussalam,2019,Female,35 to 44 years,RATE_PER_100000,0,,
96,Brunei Darussalam,2019,Male,15 to 24 years,RATE_PER_100000,0,,
96,Brunei Darussalam,2019,Male,15 to 29 years,RATE_PER_100000,4.84,,
96,Brunei Darussalam,2019,Male,65 to 74 years,RATE_PER_100000,0,,
96,Brunei Darussalam,2019,Male,75 to 84 years,RATE_PER_100000,28.73,,
96,Brunei Darussalam,2019,Male,Total years,RATE_PER_100000,4.42,2.89,6.14
156,China,2019,Total,45 to 54 years,RATE_PER_100000,7.38,,
156,China,2019,Female,30 to 49 years,RATE_PER_100000,4.04,,
156,China,2019,Female,45 to 54 years,RATE_PER_100000,5.63,,
156,China,2019,Female,55 to 64 years,RATE_PER_100000,9.2,,
156,China,2019,Female,65 to 74 years,RATE_PER_100000,15.56,,
156,China,2019,Female,75 to 84 years,RATE_PER_100000,30.63,,
156,China,2019,Female,85 plus years,RATE_PER_100000,50.18,,
156,China,2019,Male,55 to 64 years,RATE_PER_100000,13.47,,
64,Bhutan,2019,Female,15 to 19 years,RATE_PER_100000,1.43,,
64,Bhutan,2019,Female,25 to 34 years,RATE_PER_100000,1.98,,
64,Bhutan,2019,Female,85 plus years,RATE_PER_100000,20.89,,
64,Bhutan,2019,Male,15 to 19 years,RATE_PER_100000,3.62,,
64,Bhutan,2019,Male,15 to 29 years,RATE_PER_100000,4.85,,
64,Bhutan,2019,Male,85 plus years,RATE_PER_100000,56.61,,
72,Botswana,2019,Total,15 to 24 years,RATE_PER_100000,10.84,,
72,Botswana,2019,Total,30 to 49 years,RATE_PER_100000,28.12,,
156,China,2019,Male,85 plus years,RATE_PER_100000,110.56,,
156,China,2019,Male,Total years,RATE_PER_100000,9.81,7.32,13.1618
384,C̫te d'Ivoire,2019,Total,15 to 24 years,RATE_PER_100000,4.59,,
384,C̫te d'Ivoire,2019,Total,30 to 49 years,RATE_PER_100000,12.5,,
384,C̫te d'Ivoire,2019,Total,65 to 74 years,RATE_PER_100000,59.5,,
384,C̫te d'Ivoire,2019,Female,25 to 34 years,RATE_PER_100000,2.63,,
384,C̫te d'Ivoire,2019,Female,35 to 44 years,RATE_PER_100000,3.29,,
384,C̫te d'Ivoire,2019,Female,45 to 54 years,RATE_PER_100000,5.97,,
72,Botswana,2019,Total,45 to 54 years,RATE_PER_100000,43.33,,
72,Botswana,2019,Total,65 to 74 years,RATE_PER_100000,40.49,,
72,Botswana,2019,Female,75 to 84 years,RATE_PER_100000,24.29,,
72,Botswana,2019,Female,85 plus years,RATE_PER_100000,43.15,,
156,China,2019,Male,15 to 19 years,RATE_PER_100000,3.5,,
156,China,2019,Male,15 to 24 years,RATE_PER_100000,5.58,,
156,China,2019,Male,65 to 74 years,RATE_PER_100000,22.77,,
156,China,2019,Male,75 to 84 years,RATE_PER_100000,47.98,,
384,C̫te d'Ivoire,2019,Total,15 to 29 years,RATE_PER_100000,5.36,,
384,C̫te d'Ivoire,2019,Total,25 to 34 years,RATE_PER_100000,7.96,,
384,C̫te d'Ivoire,2019,Total,45 to 54 years,RATE_PER_100000,23.05,,
384,C̫te d'Ivoire,2019,Total,55 to 64 years,RATE_PER_100000,36.11,,
384,C̫te d'Ivoire,2019,Total,75 to 84 years,RATE_PER_100000,80.5,,
384,C̫te d'Ivoire,2019,Total,Total years,RATE_PER_100000,8.9,5.12,14.4511
384,C̫te d'Ivoire,2019,Female,15 to 24 years,RATE_PER_100000,1.84,,
384,C̫te d'Ivoire,2019,Female,65 to 74 years,RATE_PER_100000,20.13,,
384,C̫te d'Ivoire,2019,Female,85 plus years,RATE_PER_100000,89.14,,
384,C̫te d'Ivoire,2019,Female,Total years,RATE_PER_100000,2.83,1.53,4.8
384,C̫te d'Ivoire,2019,Male,15 to 19 years,RATE_PER_100000,6.49,,
384,C̫te d'Ivoire,2019,Male,30 to 49 years,RATE_PER_100000,21.5,,
72,Botswana,2019,Male,15 to 19 years,RATE_PER_100000,14.15,,
72,Botswana,2019,Male,15 to 29 years,RATE_PER_100000,19.73,,
72,Botswana,2019,Male,35 to 44 years,RATE_PER_100000,50.67,,
72,Botswana,2019,Male,65 to 74 years,RATE_PER_100000,71.96,,
156,China,2019,Female,25 to 34 years,RATE_PER_100000,3.13,,
156,China,2019,Female,35 to 44 years,RATE_PER_100000,4.06,,
156,China,2019,Female,Total years,RATE_PER_100000,6.24,4.88,7.84
156,China,2019,Male,15 to 29 years,RATE_PER_100000,6.51,,
72,Botswana,2019,Male,75 to 84 years,RATE_PER_100000,91.04,,
72,Botswana,2019,Male,Total years,RATE_PER_100000,26.3475,14.2074,45.0266
140,Central African Republic,2019,Total,15 to 19 years,RATE_PER_100000,6.41,,
140,Central African Republic,2019,Total,65 to 74 years,RATE_PER_100000,72.05,,
156,China,2019,Male,30 to 49 years,RATE_PER_100000,8.36,,
156,China,2019,Male,35 to 44 years,RATE_PER_100000,8.43,,
156,China,2019,Male,45 to 54 years,RATE_PER_100000,9.08,,
384,C̫te d'Ivoire,2019,Total,15 to 19 years,RATE_PER_100000,4.1,,
140,Central African Republic,2019,Total,85 plus years,RATE_PER_100000,189.83,,
140,Central African Republic,2019,Total,Total years,RATE_PER_100000,12.3271,6.69,20.4805
140,Central African Republic,2019,Female,15 to 19 years,RATE_PER_100000,2.32,,
140,Central African Republic,2019,Female,15 to 24 years,RATE_PER_100000,2.35,,
140,Central African Republic,2019,Female,15 to 29 years,RATE_PER_100000,2.54,,
140,Central African Republic,2019,Female,25 to 34 years,RATE_PER_100000,4.03,,
140,Central African Republic,2019,Female,45 to 54 years,RATE_PER_100000,20.4,,
140,Central African Republic,2019,Female,65 to 74 years,RATE_PER_100000,29.82,,
140,Central African Republic,2019,Male,25 to 34 years,RATE_PER_100000,12.64,,
140,Central African Republic,2019,Male,45 to 54 years,RATE_PER_100000,84.62,,
124,Canada,2019,Total,15 to 24 years,RATE_PER_100000,11.06,,
124,Canada,2019,Total,30 to 49 years,RATE_PER_100000,14.6,,
384,C̫te d'Ivoire,2019,Female,75 to 84 years,RATE_PER_100000,28.35,,
384,C̫te d'Ivoire,2019,Male,15 to 29 years,RATE_PER_100000,8.68,,
384,C̫te d'Ivoire,2019,Male,65 to 74 years,RATE_PER_100000,93.45,,
120,Cameroon,2019,Total,25 to 34 years,RATE_PER_100000,9.27,,
120,Cameroon,2019,Total,30 to 49 years,RATE_PER_100000,14.92,,
120,Cameroon,2019,Total,55 to 64 years,RATE_PER_100000,36.66,,
120,Cameroon,2019,Total,75 to 84 years,RATE_PER_100000,69.93,,
120,Cameroon,2019,Total,Total years,RATE_PER_100000,9.02,5.17,14.7094
120,Cameroon,2019,Female,25 to 34 years,RATE_PER_100000,4.53,,
120,Cameroon,2019,Female,30 to 49 years,RATE_PER_100000,5.98,,
120,Cameroon,2019,Female,Total years,RATE_PER_100000,4.4,2.36,7.6
120,Cameroon,2019,Male,15 to 24 years,RATE_PER_100000,6.94,,
124,Canada,2019,Total,55 to 64 years,RATE_PER_100000,15,,
124,Canada,2019,Total,85 plus years,RATE_PER_100000,13.18,,
124,Canada,2019,Female,45 to 54 years,RATE_PER_100000,9.19,,
124,Canada,2019,Female,Total years,RATE_PER_100000,6.09,4.77,10.3381
124,Canada,2019,Male,25 to 34 years,RATE_PER_100000,25.62,,
124,Canada,2019,Male,65 to 74 years,RATE_PER_100000,16.72,,
124,Canada,2019,Male,85 plus years,RATE_PER_100000,27.32,,
124,Canada,2019,Male,Total years,RATE_PER_100000,17.6075,14.2634,21.2669
384,C̫te d'Ivoire,2019,Female,15 to 19 years,RATE_PER_100000,1.71,,
384,C̫te d'Ivoire,2019,Male,15 to 24 years,RATE_PER_100000,7.35,,
384,C̫te d'Ivoire,2019,Male,55 to 64 years,RATE_PER_100000,57.28,,
120,Cameroon,2019,Total,35 to 44 years,RATE_PER_100000,15.15,,
120,Cameroon,2019,Total,45 to 54 years,RATE_PER_100000,26.37,,
120,Cameroon,2019,Total,85 plus years,RATE_PER_100000,212.75,,
120,Cameroon,2019,Female,85 plus years,RATE_PER_100000,100.72,,
120,Cameroon,2019,Male,30 to 49 years,RATE_PER_100000,23.86,,
756,Switzerland,2019,Total,15 to 24 years,RATE_PER_100000,6.55,,
756,Switzerland,2019,Total,30 to 49 years,RATE_PER_100000,10.85,,
756,Switzerland,2019,Total,85 plus years,RATE_PER_100000,35.77,,
756,Switzerland,2019,Male,15 to 19 years,RATE_PER_100000,8.61,,
756,Switzerland,2019,Male,15 to 24 years,RATE_PER_100000,10.03,,
756,Switzerland,2019,Male,55 to 64 years,RATE_PER_100000,30.29,,
756,Switzerland,2019,Male,75 to 84 years,RATE_PER_100000,51.33,,
152,Chile,2019,Total,15 to 19 years,RATE_PER_100000,5.09,,
180,Democratic Republic of the Congo,2019,Total,25 to 34 years,RATE_PER_100000,5.42,,
180,Democratic Republic of the Congo,2019,Total,30 to 49 years,RATE_PER_100000,8.51,,
180,Democratic Republic of the Congo,2019,Total,75 to 84 years,RATE_PER_100000,63.49,,
180,Democratic Republic of the Congo,2019,Female,15 to 19 years,RATE_PER_100000,1.2,,
180,Democratic Republic of the Congo,2019,Female,35 to 44 years,RATE_PER_100000,2.91,,
180,Democratic Republic of the Congo,2019,Female,65 to 74 years,RATE_PER_100000,21.66,,
180,Democratic Republic of the Congo,2019,Female,85 plus years,RATE_PER_100000,53.83,,
180,Democratic Republic of the Congo,2019,Male,15 to 24 years,RATE_PER_100000,5.58,,
180,Democratic Republic of the Congo,2019,Male,15 to 29 years,RATE_PER_100000,6.43,,
180,Democratic Republic of the Congo,2019,Male,45 to 54 years,RATE_PER_100000,31.82,,
180,Democratic Republic of the Congo,2019,Male,85 plus years,RATE_PER_100000,308.69,,
178,Congo,2019,Total,25 to 34 years,RATE_PER_100000,6.03,,
178,Congo,2019,Female,25 to 34 years,RATE_PER_100000,2.36,,
178,Congo,2019,Female,35 to 44 years,RATE_PER_100000,4.07,,
178,Congo,2019,Female,65 to 74 years,RATE_PER_100000,23.93,,
178,Congo,2019,Female,85 plus years,RATE_PER_100000,78.33,,
152,Chile,2019,Total,30 to 49 years,RATE_PER_100000,11.9,,
152,Chile,2019,Total,65 to 74 years,RATE_PER_100000,10.71,,
152,Chile,2019,Female,15 to 19 years,RATE_PER_100000,2.73,,
152,Chile,2019,Female,15 to 24 years,RATE_PER_100000,3.55,,
178,Congo,2019,Male,15 to 24 years,RATE_PER_100000,5.43,,
178,Congo,2019,Male,45 to 54 years,RATE_PER_100000,24.99,,
178,Congo,2019,Male,75 to 84 years,RATE_PER_100000,110.12,,
178,Congo,2019,Male,Total years,RATE_PER_100000,9.52,5.49,15.4043
170,Colombia,2019,Total,35 to 44 years,RATE_PER_100000,3.86,,
170,Colombia,2019,Total,45 to 54 years,RATE_PER_100000,3.97,,
170,Colombia,2019,Total,55 to 64 years,RATE_PER_100000,4.22,,
170,Colombia,2019,Total,85 plus years,RATE_PER_100000,11.7,,
152,Chile,2019,Female,15 to 29 years,RATE_PER_100000,3.64,,
152,Chile,2019,Female,35 to 44 years,RATE_PER_100000,4.5,,
152,Chile,2019,Female,45 to 54 years,RATE_PER_100000,4.57,,
152,Chile,2019,Female,65 to 74 years,RATE_PER_100000,2.69,,
152,Chile,2019,Male,15 to 24 years,RATE_PER_100000,11.19,,
152,Chile,2019,Male,Total years,RATE_PER_100000,14.9196,12.1568,18.0795
156,China,2019,Total,35 to 44 years,RATE_PER_100000,6.3,,
156,China,2019,Total,65 to 74 years,RATE_PER_100000,19.07,,
156,China,2019,Female,15 to 19 years,RATE_PER_100000,2.22,,
156,China,2019,Female,15 to 24 years,RATE_PER_100000,2.76,,
156,China,2019,Female,15 to 29 years,RATE_PER_100000,2.84,,
156,China,2019,Male,25 to 34 years,RATE_PER_100000,8.18,,
120,Cameroon,2019,Male,15 to 29 years,RATE_PER_100000,8.53,,
120,Cameroon,2019,Male,35 to 44 years,RATE_PER_100000,24.3,,
120,Cameroon,2019,Male,45 to 54 years,RATE_PER_100000,42.5,,
180,Democratic Republic of the Congo,2019,Total,15 to 24 years,RATE_PER_100000,3.46,,
180,Democratic Republic of the Congo,2019,Total,15 to 29 years,RATE_PER_100000,3.93,,
180,Democratic Republic of the Congo,2019,Total,35 to 44 years,RATE_PER_100000,7.96,,
180,Democratic Republic of the Congo,2019,Total,55 to 64 years,RATE_PER_100000,32.74,,
180,Democratic Republic of the Congo,2019,Total,65 to 74 years,RATE_PER_100000,48.19,,
180,Democratic Republic of the Congo,2019,Total,85 plus years,RATE_PER_100000,151.84,,
180,Democratic Republic of the Congo,2019,Female,15 to 29 years,RATE_PER_100000,1.42,,
180,Democratic Republic of the Congo,2019,Female,25 to 34 years,RATE_PER_100000,1.86,,
180,Democratic Republic of the Congo,2019,Female,45 to 54 years,RATE_PER_100000,6.13,,
180,Democratic Republic of the Congo,2019,Male,15 to 19 years,RATE_PER_100000,4.09,,
180,Democratic Republic of the Congo,2019,Male,35 to 44 years,RATE_PER_100000,13.1,,
180,Democratic Republic of the Congo,2019,Male,65 to 74 years,RATE_PER_100000,78.9,,
178,Congo,2019,Total,15 to 24 years,RATE_PER_100000,3.43,,
178,Congo,2019,Total,Total years,RATE_PER_100000,6.48,3.71,10.5334
178,Congo,2019,Female,30 to 49 years,RATE_PER_100000,4.2,,
178,Congo,2019,Female,75 to 84 years,RATE_PER_100000,28.74,,
178,Congo,2019,Male,30 to 49 years,RATE_PER_100000,13.52,,
178,Congo,2019,Male,55 to 64 years,RATE_PER_100000,43.18,,
178,Congo,2019,Male,85 plus years,RATE_PER_100000,405.09,,
170,Colombia,2019,Total,75 to 84 years,RATE_PER_100000,8.06,,
170,Colombia,2019,Female,55 to 64 years,RATE_PER_100000,1.36,,
170,Colombia,2019,Female,Total years,RATE_PER_100000,1.75,1.17,2.5
170,Colombia,2019,Male,15 to 19 years,RATE_PER_100000,7.2,,
174,Comoros,2019,Female,15 to 19 years,RATE_PER_100000,2.79,,
174,Comoros,2019,Female,15 to 24 years,RATE_PER_100000,3.45,,
170,Colombia,2019,Female,15 to 24 years,RATE_PER_100000,3.22,,
170,Colombia,2019,Female,35 to 44 years,RATE_PER_100000,1.67,,
170,Colombia,2019,Female,45 to 54 years,RATE_PER_100000,1.62,,
170,Colombia,2019,Female,85 plus years,RATE_PER_100000,2.13,,
170,Colombia,2019,Male,15 to 29 years,RATE_PER_100000,7.85,,
170,Colombia,2019,Male,25 to 34 years,RATE_PER_100000,7.04,,
170,Colombia,2019,Male,45 to 54 years,RATE_PER_100000,6.62,,
170,Colombia,2019,Male,55 to 64 years,RATE_PER_100000,7.51,,
174,Comoros,2019,Total,15 to 19 years,RATE_PER_100000,3.09,,
174,Comoros,2019,Total,15 to 24 years,RATE_PER_100000,4.08,,
174,Comoros,2019,Total,15 to 29 years,RATE_PER_100000,4.74,,
174,Comoros,2019,Total,25 to 34 years,RATE_PER_100000,6.2,,
174,Comoros,2019,Total,45 to 54 years,RATE_PER_100000,11.84,,
174,Comoros,2019,Total,65 to 74 years,RATE_PER_100000,27.18,,
174,Comoros,2019,Total,75 to 84 years,RATE_PER_100000,41.32,,
174,Comoros,2019,Female,55 to 64 years,RATE_PER_100000,13.26,,
384,C̫te d'Ivoire,2019,Total,35 to 44 years,RATE_PER_100000,12.4,,
384,C̫te d'Ivoire,2019,Total,85 plus years,RATE_PER_100000,279.94,,
384,C̫te d'Ivoire,2019,Female,15 to 29 years,RATE_PER_100000,2.06,,
384,C̫te d'Ivoire,2019,Female,30 to 49 years,RATE_PER_100000,3.33,,
174,Comoros,2019,Female,75 to 84 years,RATE_PER_100000,29.48,,
174,Comoros,2019,Female,Total years,RATE_PER_100000,3.75,1.87,6.38
174,Comoros,2019,Male,15 to 19 years,RATE_PER_100000,3.37,,
174,Comoros,2019,Male,15 to 29 years,RATE_PER_100000,6,,
384,C̫te d'Ivoire,2019,Female,55 to 64 years,RATE_PER_100000,11.87,,
384,C̫te d'Ivoire,2019,Male,25 to 34 years,RATE_PER_100000,13.34,,
384,C̫te d'Ivoire,2019,Male,85 plus years,RATE_PER_100000,518.16,,
384,C̫te d'Ivoire,2019,Male,Total years,RATE_PER_100000,14.8559,8.65,23.9314
120,Cameroon,2019,Total,15 to 19 years,RATE_PER_100000,3.84,,
120,Cameroon,2019,Total,15 to 29 years,RATE_PER_100000,5.92,,
120,Cameroon,2019,Female,15 to 19 years,RATE_PER_100000,2.31,,
120,Cameroon,2019,Female,15 to 29 years,RATE_PER_100000,3.29,,
174,Comoros,2019,Male,65 to 74 years,RATE_PER_100000,34.52,,
132,Cabo Verde,2019,Total,45 to 54 years,RATE_PER_100000,28.84,,
132,Cabo Verde,2019,Female,30 to 49 years,RATE_PER_100000,4.45,,
132,Cabo Verde,2019,Female,Total years,RATE_PER_100000,4.45,2.7,6.87
132,Cabo Verde,2019,Male,30 to 49 years,RATE_PER_100000,27.39,,
132,Cabo Verde,2019,Male,35 to 44 years,RATE_PER_100000,28.03,,
132,Cabo Verde,2019,Male,45 to 54 years,RATE_PER_100000,48.12,,
132,Cabo Verde,2019,Male,55 to 64 years,RATE_PER_100000,67.25,,
132,Cabo Verde,2019,Male,85 plus years,RATE_PER_100000,214.21,,
188,Costa Rica,2019,Total,15 to 19 years,RATE_PER_100000,8.86,,
188,Costa Rica,2019,Total,15 to 24 years,RATE_PER_100000,11.01,,
188,Costa Rica,2019,Total,35 to 44 years,RATE_PER_100000,10.52,,
188,Costa Rica,2019,Total,Total years,RATE_PER_100000,8.06,5.59,11.1349
188,Costa Rica,2019,Female,15 to 19 years,RATE_PER_100000,1.38,,
188,Costa Rica,2019,Female,15 to 24 years,RATE_PER_100000,2.63,,
188,Costa Rica,2019,Female,15 to 29 years,RATE_PER_100000,2.61,,
120,Cameroon,2019,Female,35 to 44 years,RATE_PER_100000,5.98,,
120,Cameroon,2019,Female,55 to 64 years,RATE_PER_100000,19.21,,
120,Cameroon,2019,Female,65 to 74 years,RATE_PER_100000,28.67,,
120,Cameroon,2019,Male,15 to 19 years,RATE_PER_100000,5.36,,
174,Comoros,2019,Female,65 to 74 years,RATE_PER_100000,20.7,,
174,Comoros,2019,Male,55 to 64 years,RATE_PER_100000,22.29,,
132,Cabo Verde,2019,Total,15 to 19 years,RATE_PER_100000,4.4,,
132,Cabo Verde,2019,Total,15 to 24 years,RATE_PER_100000,5.82,,
132,Cabo Verde,2019,Total,15 to 29 years,RATE_PER_100000,7.1,,
132,Cabo Verde,2019,Total,65 to 74 years,RATE_PER_100000,41.2,,
132,Cabo Verde,2019,Female,55 to 64 years,RATE_PER_100000,14.55,,
132,Cabo Verde,2019,Female,75 to 84 years,RATE_PER_100000,27.86,,
132,Cabo Verde,2019,Male,15 to 19 years,RATE_PER_100000,6.86,,
132,Cabo Verde,2019,Male,15 to 29 years,RATE_PER_100000,12.29,,
188,Costa Rica,2019,Total,25 to 34 years,RATE_PER_100000,10.01,,
188,Costa Rica,2019,Total,65 to 74 years,RATE_PER_100000,4.94,,
120,Cameroon,2019,Male,55 to 64 years,RATE_PER_100000,55.4,,
120,Cameroon,2019,Male,85 plus years,RATE_PER_100000,398.04,,
180,Democratic Republic of the Congo,2019,Total,15 to 19 years,RATE_PER_100000,2.65,,
180,Democratic Republic of the Congo,2019,Total,45 to 54 years,RATE_PER_100000,18.76,,
180,Democratic Republic of the Congo,2019,Total,Total years,RATE_PER_100000,6.7,3.91,10.8526
180,Democratic Republic of the Congo,2019,Female,55 to 64 years,RATE_PER_100000,15.13,,
180,Democratic Republic of the Congo,2019,Female,75 to 84 years,RATE_PER_100000,25.28,,
180,Democratic Republic of the Congo,2019,Male,55 to 64 years,RATE_PER_100000,51.65,,
188,Costa Rica,2019,Female,25 to 34 years,RATE_PER_100000,3.11,,
188,Costa Rica,2019,Female,55 to 64 years,RATE_PER_100000,2.05,,
188,Costa Rica,2019,Male,15 to 29 years,RATE_PER_100000,19.09,,
188,Costa Rica,2019,Male,85 plus years,RATE_PER_100000,9.67,,
